
 Jogador: 1, Jogada(1|1), Board: 5
 Jogador: 2, Jogada(2|2), Board: 1
 Jogador: 1, Jogada(1|2), Board: 5
 Jogador: 2, Jogada(2|2), Board: 2
 Jogador: 1, Jogada(1|3), Board: 5
 Jogador: 2, Jogada(3|1), Board: 3
 Jogador: 1, Jogada(1|1), Board: 7
 Jogador: 2, Jogada(1|3), Board: 1
 Jogador: 1, Jogada(1|1), Board: 3
 Jogador: 2, Jogada(3|1), Board: 1
 Jogador: 1, Jogada(1|2), Board: 7
 Jogador: 2, Jogada(1|3), Board: 2
 Jogador: 1, Jogada(1|2), Board: 3
 Jogador: 2, Jogada(3|1), Board: 2
 Jogador: 1, Jogada(1|3), Board: 7
 Jogador: 2, Jogada(3|3), Board: 3
 Jogador: 1, Jogada(2|1), Board: 9
 Jogador: 2, Jogada(1|3), Board: 4
 Jogador: 1, Jogada(1|3), Board: 3
